IMO,ShipName,ShipType,DistanceNm,Fuel_tonnes,CO2_tonnes,DWT,Cargo
9829796,Chemical tanker,Chemical tanker,690.0,2254.38,6797.545,,
9830135,Bulk carrier,Bulk carrier,0.0,1206.67,2192.245,,
9832585,Ro-ro ship,Ro-ro ship,0.0,8874.09,15280.765,,
9832597,Ro-ro ship,Ro-ro ship,0.0,15447.22,48163.34,,
9833175,Passenger ship,Passenger ship,0.0,10139.57,26683.905,,
9833187,Passenger ship (Cruise Passenger ship),Passenger ship (Cruise Passenger ship),0.0,6740.04,17687.5,,
9834648,Passenger ship,Passenger ship,0.0,1051.656,2075.457,,
9835769,Bulk carrier,Bulk carrier,0.0,1156.94,1967.68,,
9835771,Bulk carrier,Bulk carrier,0.0,2021.19,3610.09,,
9835795,Bulk carrier,Bulk carrier,0.0,943.12,1516.925,,
9838462,Bulk carrier,Bulk carrier,0.0,1073.766,1738.4324,,
9838474,Bulk carrier,Bulk carrier,0.0,1500.761,2787.17845,,
9841641,Bulk carrier,Bulk carrier,0.0,411.2,685.185,,
9841653,Bulk carrier,Bulk carrier,0.0,560.77,911.09,,
9841938,Bulk carrier,Bulk carrier,0.0,1931.81,3409.275,,
9841940,Bulk carrier,Bulk carrier,0.0,537.42,909.025,,
9842554,Passenger ship,Passenger ship,0.0,1394.7,3193.0192,,
9845910,Passenger ship,Passenger ship,0.0,3016.17,7655.875,,
9845922,Passenger ship (Cruise Passenger ship),Passenger ship (Cruise Passenger ship),0.0,8848.97,24186.815,,
9849813,Bulk carrier,Bulk carrier,0.0,2083.274,3535.98,,
9849899,Bulk carrier,Bulk carrier,0.0,4620.49,8077.535,,
9849904,Bulk carrier,Bulk carrier,0.0,4558.0,8257.51,,
9850692,Oil tanker,Oil tanker,0.0,1661.91,2758.7,,
9850707,Oil tanker,Oil tanker,0.0,1169.35,2192.675,,
9851036,Ro-pax ship,Ro-pax ship,0.0,24959.76,77763.11,,
9851048,Ro-pax ship,Ro-pax ship,0.0,15181.53,47311.21,,
9851696,Chemical tanker,Chemical tanker,0.0,4501.71,6092.16562,,
9851701,Chemical tanker,Chemical tanker,0.0,3716.62,9081.2,,
9851713,Chemical tanker,Chemical tanker,0.0,3097.01,8588.125,,
9851725,Chemical tanker,Chemical tanker,0.0,474.31,905.04,,
9854466,Chemical tanker,Chemical tanker,233.0,2540.38,7878.6,,
9854478,Chemical tanker,Chemical tanker,1195.0,2352.0,7251.23,,
9856189,Ro-pax ship,Ro-pax ship,0.0,18182.18,50807.515,,
9857640,Passenger ship,Passenger ship,0.0,1994.85,4770.47288,,
9858321,Ro-pax ship,Ro-pax ship,0.0,10694.42,18697.19,,
9860116,Bulk carrier,Bulk carrier,0.0,3221.83,5238.44,,
9860128,Bulk carrier,Bulk carrier,0.0,3019.15,5057.475,,
9860142,Ro-ro ship,Ro-ro ship,0.0,14822.6,46201.73,,
9861160,Bulk carrier,Bulk carrier,0.0,1247.46,2274.31,,
9862023,Passenger ship,Passenger ship,0.0,1704.8,4121.48,,
9862994,Ro-pax ship,Ro-pax ship,0.0,15169.04,47867.99,,
9863003,Ro-pax ship,Ro-pax ship,0.0,14937.34,47108.63,,
9864681,Ro-ro ship,Ro-ro ship,0.0,9251.67,15220.7,,
9866249,Container ship,Container ship,0.0,5556.377,11966.495,,
9866251,Container ship,Container ship,0.0,5916.421,13160.305,,
9866732,Bulk carrier,Bulk carrier,0.0,489.854,874.33771,,
