IMO,ShipName,ShipType,DistanceNm,Fuel_tonnes,CO2_tonnes,DWT,Cargo
9198989,Ro-ro ship,Ro-ro ship,0.0,3250.59,5565.255,,
9200330,Bulk carrier,Bulk carrier,0.0,1026.753,2179.12435,,
9200419,Bulk carrier,Bulk carrier,0.0,1670.585,3026.13424,,
9202508,General cargo ship,General cargo ship,0.0,6326.44,12313.41144,10.64,
9202510,General cargo ship,General cargo ship,0.0,4685.74,8522.27441,8.48,
9202522,General cargo ship,General cargo ship,0.0,3959.33,7675.93781,17.11,
9202534,General cargo ship,General cargo ship,0.0,5923.34,11062.8115,9.31,
9202546,General cargo ship,General cargo ship,0.0,5284.01,10123.86849,8.02,
9202558,General cargo ship,General cargo ship,0.0,5237.05,10155.33093,9.54,
9204726,General cargo ship,General cargo ship,0.0,906.78,1695.055,15.41,
